"f07_hh_id","s08_heads_child_cnt","s08_girls_cnt","s08_age_cnt","s08_duration_village_cnt","s08_age_head_cnt","s08_yrs_ed_head_cnt","s08_num_ppl_hh_cnt","s08_jeribs_cnt","s08_num_sheep_cnt","s08_farsi_cnt","s08_tajik_cnt","s08_farmer_cnt","s08_test_observed","f07_heads_child_cnt","f07_girl_cnt","f07_age_cnt","f07_age_head_cnt","f07_yrs_ed_head_cnt","f07_jeribs_cnt","f07_num_sheep_cnt","f07_duration_village_cnt","f07_farsi_cnt","f07_tajik_cnt","f07_farmer_cnt","f07_num_ppl_hh_cnt","f07_test_observed","f07_observed","s08_observed","treatment","clustercode","chagcharan","f07_formal_school","s08_formal_school","f07_nearest_scl","s08_nearest_scl","f07_both_norma_total","s08_both_norma_total","s08_hh_id","observation_id"
"V19.L10",1,1,9,30,50,5,11,0,10,0,1,1,1,1,1,8,50,3,0,5,50,0,1,1,10,1,1,1,1,12,0,1,1,0.139987871050835,0.1418147534132,-0.253111183643341,-0.381514608860016,"V19.S06N",1118
"V19.C02",1,0,8,35,38,0,5,1,0,0,0,1,1,1,0,8,35,0,0.5,3,30,0,1,1,5,1,1,1,1,12,0,1,1,0.693771302700043,0.715353310108185,0.819813132286072,0.739816606044769,"V19.T01N",1119
"V19.S06",1,1,10,35,35,0,12,5,3,0,0,1,1,1,1,9,30,5,1,3,30,0,0,1,10,1,1,1,1,12,0,1,1,0.093894399702549,0.188175529241562,0.953928709030151,1.46067237854004,"V19.T05N",1120
"V19.S06",1,0,9,35,35,0,12,5,3,0,0,1,1,1,0,8,30,5,1,3,30,0,0,1,10,1,1,1,1,12,0,1,1,0.093894399702549,0.188175529241562,2.160968542099,1.78105270862579,"V19.T05N",1121
"NM",1,0,10,30,50,10,10,0,3,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,0,NA,0.139355421066284,NA,2.02133798599243,"V19.T06N",1122
"V19.E03",1,0,9,40,40,4,13,10,10,0,0,0,1,1,0,8,40,5,1,6,40,1,0,0,6,1,1,1,1,12,0,1,1,0.73888224363327,0.731874406337738,0.551582038402557,1.54076743125916,"V19.U01N",1123
"V19.A03",0,1,8,60,30,4,16,10,15,0,0,0,1,0,1,6,31,4,5,20,59,0,0,0,15,1,1,1,1,12,0,0,0,0.380076020956039,0.437790095806122,-1.19191992282867,-0.942180216312408,"V19.U02N",1124
"V19.A03",0,1,9,60,30,4,16,10,15,0,0,0,1,0,1,8,31,4,5,20,59,0,0,0,15,1,1,1,1,12,0,1,1,0.380076020956039,0.437790095806122,-0.923688888549805,-0.461609721183777,"V19.U02N",1125
"V19.C07",1,0,8,45,45,0,9,0,4,0,0,1,1,1,0,7,57,0,0,3,15,0,0,1,8,1,1,1,1,12,0,1,1,0.39228543639183,0.418383687734604,1.08804416656494,0.259246081113815,"V19.U03N",1126
"V19.C08",1,1,7,54,54,0,6,0,5,0,0,1,1,1,1,7,57,0,0,3,16,0,0,1,6,1,1,1,1,12,0,0,0,0.39228543639183,0.39627280831337,-0.923688888549805,-1.02227532863617,"V19.U04N",1127
